date	julian_day	year	time	Secchi meter 	temperature	salinity	SiO2	PO4	NO2	NO3	NOX	NH4	HPLC Chla	BBE Chla	DIN	HW Zeit 1	HW Zeit 2	NW Zeit 1	NW Zeit 2
10/1/01	1	2010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12:03	6:25	18:42
10/1/02	2	2010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0:21	12:55	7:19	19:33
10/1/03	3	2010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1:12	13:47	8:14	20:24
10/1/04	4	2010	9:30	2.9	5.2	33.249	7.77	0.61	1.5	13.18	14.67	3.77	NA	0.202	18.44	2:01	14:35	9:03	21:09
10/1/05	5	2010	9:55	2.9	5.5	33.601	6.54	0.52	1.75	11.11	12.86	2.89	0.266	0.141	15.74	2:46	15:19	9:46	21:52
10/1/06	6	2010	8:15	2.8	5.3	33.69	6.73	0.72	1.79	11.92	13.71	1.52	NA	0.136	15.23	3:29	16:04	10:28	22:37
10/1/07	7	2010	9:30	3.2	5.1	33.778	6.03	0.57	2	9.58	11.58	1.69	0.461	0.224	13.28	4:15	16:53	11:12	23:25
10/1/08	8	2010	8:40	3.2	4.7	33.852	5.86	0.57	2.01	10.7	12.71	0.97	NA	0.136	13.68	5:08	17:46	11:59	NA
10/1/09	9	2010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6:07	18:45	0:19	12:54
10/1/10	10	2010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7:15	19:54	1:23	14:02
10/1/11	11	2010	9:05	2.7	3.8	33.13	10.72	0.66	1.58	17.19	18.77	2.53	NA	0.11	21.3	8:29	21:04	2:38	15:16
10/1/12	12	2010	8:50	2.7	3.2	33.75	14.68	0.73	1.62	18.34	19.96	1.73	0.429	0.327	21.69	9:40	22:07	3:52	16:22
10/1/13	13	2010	8:30	2.7	3.4	33.492	13.56	0.74	1.66	22.84	24.49	1.08	NA	0.376	25.57	10:40	23:00	4:56	17:17
10/1/14	14	2010	8:50	2	3.4	33.092	11.34	0.68	1.66	19.1	20.76	1.55	0.404	0.228	22.31	11:29	23:45	5:49	18:04
10/1/15	15	2010	8:30	2.8	4.2	34.003	6.28	0.56	1.93	10.55	12.48	2.06	NA	0.149	14.54	NA	12:11	6:33	18:45
