date	julian_day	year	Diatoms	Diatoms_pennales	Diatoms_centrales	Greenalgae	Dinoflagellates	Silicoflagellates	Coccolithophorids	Flagellates	Ciliates	total_Phytoplankton_abundance	Mediopyxis_helysia	Chaetoceros_debilis	Chaetoceros_minimus	Rhizosolenia_styliformis	Thalassiosira_nordenskioeldii	Dinophyceae_round_(10_µm)	Phaeocystis_sp	Chattonella_sp
100104	4	2010	82586	80446	2140	0	13187	0	0	1510186	0	1605959	0	0	0	0	0	9957	49785	0
100105	5	2010	93783	91323	2460	0	5619	0	10167	1007757	0	1117326	0	0	0	0	0	3319	66380	0
100106	6	2010	152406	144337	8069	0	12787	0	3319	1189882	0	1358394	0	0	0	0	0	9957	59742	0
100107	7	2010	92546	82886	9660	0	7299	0	210	1556232	0	1656287	0	0	0	0	0	3319	56423	0
100108	8	2010	64462	61112	3350	0	13707	0	0	1124342	0	1202511	0	0	0	0	0	9957	129441	0
100111	11	2010	27944	22354	5590	0	8478	0	0	1248195	0	1284617	20	0	0	0	0	6638	66380	0
100112	12	2010	37710	34590	3120	0	2050	0	3319	1197570	0	1240649	0	0	0	0	0	0	33190	0
100113	13	2010	32891	31891	1000	0	5619	0	3529	1319953	0	1361992	0	0	0	0	0	3319	49785	0
100114	14	2010	67642	61872	5770	0	4820	0	210	1547325	40	1620037	0	120	0	0	0	0	76337	0
100115	15	2010	53416	48996	4420	0	17446	0	210	1308357	210	1379639	0	0	0	0	0	13276	99570	0
100118	18	2010	36901	32341	4560	0	8099	0	9957	1105478	20	1160455	0	0	0	0	0	3319	63061	0
100119	19	2010	701352	695032	6320	0	4170	0	420	1452334	20	2158296	0	0	0	0	0	0	59742	0
100120	20	2010	347268	341528	5740	20	7699	20	210	1879645	20	2234862	0	0	0	0	0	3319	92932	210
100121	21	2010	70142	63982	6160	0	7359	0	0	1540477	40	1618018	0	0	0	0	0	3319	82975	0
100122	22	2010	54185	50975	3210	0	3180	0	9957	1418934	20	1486276	0	0	0	0	0	0	53104	0
100125	25	2010	61953	59753	2200	0	16177	0	7058	2176127	20	2261335	0	0	0	0	0	9957	76337	0
100126	26	2010	53925	52045	1880	0	15977	0	6638	1741927	40	1818507	0	0	0	0	0	9957	63061	0
100127	27	2010	59703	58663	1040	0	22966	0	19914	1956233	40	2058856	0	0	0	0	0	13276	66380	0
100128	28	2010	30702	27362	3340	0	4639	0	10167	1545435	40	1590983	0	0	0	0	0	3319	39828	0
100129	29	2010	144339	138899	5440	0	15856	0	6638	1762850	0	1929683	0	0	0	0	0	13276	46466	0
100201	32	2010	53576	49696	3880	0	7449	0	3529	1648575	40	1713169	0	60	0	0	0	3319	73018	0
100202	33	2010	42010	37130	4880	0	6759	0	3319	1607697	20	1659805	0	0	0	0	0	3319	36509	210
100203	34	2010	58604	54444	4160	0	8358	0	7268	1579296	20	1653546	0	0	0	0	0	6638	76337	0
100204	35	2010	45668	40958	4710	0	6509	0	0	1500649	0	1552826	20	0	0	0	0	3319	53104	0
100205	36	2010	63043	58373	4670	0	6109	0	9957	1538418	0	1617527	0	0	0	0	0	3319	53104	0
100208	39	2010	64133	58333	5800	0	6629	0	13486	1971819	20	2056087	0	0	0	0	0	3319	116165	0
100209	40	2010	17967	12827	5140	0	9089	0	13276	1847966	20	1888318	0	0	0	0	0	3319	86294	420
100210	41	2010	50767	47317	3450	0	7259	0	6638	1787215	40	1851919	0	0	0	0	0	3319	56423	0
