nodes	FL_100105	FL_100108	FL_100115	FL_100330	FL_100408	FL_100413	FL_100420	FL_100423	FL_100430	FL_100504	FL_100511	FL_100701	FL_100705	FL_100712	FL_100719	FL_100726	FL_100802	FL_100809	FL_100819	FL_100826	FL_100902	FL_100909	FL_100916	FL_100923	FL_101014	FL_101021	FL_101108	FL_101115	FL_101122	FL_101206	FL_110103	FL_110113	FL_110124	FL_110131	FL_110217	FL_110224	FL_110303	FL_110307	FL_110314	FL_110321	FL_110328	FL_110331	FL_110404	FL_110407	FL_110414	FL_110421	FL_110426	FL_110428	FL_110506	FL_110509	FL_110512	FL_110516	FL_110523	FL_110526	FL_110530	FL_110603	FL_110606	FL_110609	FL_110614	FL_110616	FL_110620	FL_110623	FL_110627	FL_110630	FL_110704	FL_110707	FL_110711	FL_110713	FL_110718	FL_110721	FL_110728	FL_110804	FL_110808	FL_110815	FL_110822	FL_110829	FL_110905	FL_110919	FL_110922	FL_110926	FL_110929	FL_111006	FL_111011	FL_111014	FL_111017	FL_111024	FL_111027	FL_111031	FL_111103	FL_111107	FL_111110	FL_111114	FL_111117	FL_111121	FL_111124	FL_111205	FL_111208	FL_111212	FL_120102	FL_120112	FL_120119	FL_120126	FL_120202	FL_120207	FL_120301	FL_120308	FL_120315	FL_120322	FL_120329	FL_120405	FL_120412	FL_120416	FL_120426	FL_120503	FL_120510	FL_120524	FL_120531	FL_120607	FL_120614	FL_120620	FL_120628	FL_120705	FL_120712	FL_120719	FL_120726	FL_120802	FL_120809	FL_120816	FL_120823	FL_120830	FL_120906	FL_120920	FL_120927	FL_121004	FL_121011	FL_121018	FL_121101	FL_121122	FL_121129	FL_121206	FL_121213	FL_121220
2453_Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;OM1 clade;Candidatus Actinomarina	4288	4101	4768	4	3	2	3	2	3	3	0	911	882	291	184	5694	6642	8946	8096	11256	6203	6406	7808	9306	6068	5880	4942	4759	2899	4290	3563	5265	4268	3446	3067	4988	2963	3283	4685	2285	2070	1798	2398	2583	1411	1084	707	575	177	53	23	16	28	495	228	695	915	1097	595	426	740	1263	1779	348	1166	505	892	1198	870	1766	7075	2507	2483	3593	8017	3206	8029	6137	7381	7697	8505	8677	9226	6958	5708	8078	8663	9215	6582	6638	6100	8244	11160	5334	5225	6031	7459	6543	7647	11015	9900	10263	4981	3543	3160	3871	3938	5328	2894	3083	2091	1514	753	928	852	1319	498	230	325	236	1085	277	425	1013	3193	1566	7143	3403	3900	6110	12147	11824	11091	8099	8219	7442	7488	8757	6996	5599	6204	6981
11491_Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Amylibacter	118	167	181	4412	3674	3249	5848	7337	9416	8924	7044	2507	602	1114	3866	2848	1530	1997	2242	2785	1037	1235	2757	2824	2103	2275	1367	862	839	904	590	602	544	279	530	1141	694	577	825	901	658	816	703	843	231	184	255	672	9933	13044	8197	9250	9091	5585	6750	7725	7873	11155	5946	7312	8253	8654	12204	18578	14756	11249	7591	5272	7573	9189	5318	9165	12019	5709	5904	2867	1814	1517	2464	1231	912	1228	1465	994	789	715	876	943	839	1176	662	1121	1380	771	883	567	727	698	678	822	619	609	639	574	1002	1783	1412	2413	1595	1503	404	319	735	6229	6814	20628	12078	18693	18986	7854	15366	4776	14621	11455	3352	9771	10753	9723	4213	2784	2958	1074	604	470	694	800	790	1027	2822	1641	2403	1795
11410_Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Planktomarina	1422	1010	1123	14711	4586	8160	6274	4071	3787	3485	9226	7997	3986	4656	3869	8239	4395	5361	4664	2455	1980	4140	3250	4608	1447	1617	1012	678	474	1262	2755	2204	3041	5201	5220	4687	3694	5849	4089	4385	6945	10107	5742	6112	4872	6516	7856	7581	8108	4459	2469	6253	12452	9440	8057	7440	4987	4936	2485	2294	2150	2388	5082	3040	3663	6073	4925	4763	4237	4529	4307	9333	4772	3551	3441	1452	1601	1110	1550	955	819	938	1477	1190	713	989	525	581	581	864	657	798	1045	512	581	946	1128	1773	1650	4429	3180	3277	2916	3232	9470	8029	7480	13089	9894	11997	3013	3412	3311	13735	10300	9271	3406	3107	4381	2224	5872	3232	4574	5296	2841	4003	5069	2383	2410	1654	2173	1216	1028	641	2430	989	642	609	1710	916	1598	1259
2645_Bacteria;Proteobacteria;Betaproteobacteria;Methylophilales;Methylophilaceae;OM43 clade	3941	4989	6215	161	85	157	180	279	389	287	957	1132	542	229	842	683	769	880	766	1246	464	572	1065	1214	2769	2188	2528	1748	1371	2554	3139	5083	4039	2769	1830	3302	2423	2253	3324	2726	1725	1439	1418	1487	580	433	365	428	565	693	723	586	1215	1746	1499	1743	1212	2185	1805	974	1676	2152	1842	1407	1294	674	912	602	686	2190	2006	961	1507	1083	1965	751	1480	1464	2322	2323	1980	1808	1653	1405	1132	1820	2357	2685	2583	2935	3000	4599	6085	3280	5323	4655	6055	4235	4151	4555	3589	4029	2890	2997	3084	3459	2614	3566	2119	1728	1136	758	446	836	1153	1090	495	565	1137	1184	2667	868	1753	1386	1261	1262	2302	1765	945	1486	2733	2363	3245	2911	3272	3047	2300	3533	4353	3593	6294	6027
11794_Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;ZD0405	749	1131	917	1	0	0	1	2	0	0	0	4	0	1	6	7	21	182	718	4421	2201	326	1001	1319	1561	1784	2049	1397	1171	1283	668	723	653	328	518	1354	724	744	1028	846	348	390	278	281	86	52	26	32	8	7	3	2	1	15	12	16	21	33	11	8	49	87	134	38	223	121	194	229	322	776	2661	2264	4857	3595	6310	1504	2854	2425	3026	2445	2275	3089	4257	3239	2629	2824	3145	3048	2331	2130	1936	2898	3892	1768	2687	1348	1781	1318	972	923	630	355	657	699	449	430	465	613	439	328	122	75	78	91	64	49	18	12	18	22	220	30	255	403	1224	1385	5154	3271	3006	4558	4932	2903	2388	2917	2744	4673	3086	2856	3620	2473	4467	3265
7511_Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Ascidiaceihabitans	915	1070	1038	2	0	1	0	4	0	0	2	85	178	3412	3977	3806	2896	2675	3658	2729	1132	1327	1617	1830	1557	1383	1074	939	601	669	510	759	394	162	177	289	178	181	252	186	78	84	43	46	8	11	8	16	6	3	6	2	15	32	47	118	126	236	676	514	1603	2011	3217	2188	2025	2066	2435	1502	2686	5332	4100	2890	2707	2165	2402	798	1658	938	1278	1119	1111	1081	1496	1229	960	1224	1312	1362	1141	1394	1155	1691	2294	1147	1641	793	1109	847	775	1054	771	551	913	1110	803	840	517	511	261	197	56	47	46	117	136	193	119	334	1200	1401	4280	1503	3181	4010	3458	3300	5000	2798	1975	2163	3223	1408	1235	964	1762	2109	1163	1295	2287	1469	2370	1746
6143_Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;SAR116 clade	886	994	1003	74	10	67	87	32	77	141	700	881	103	299	1237	508	515	1132	813	1638	430	187	646	1215	1085	1173	1034	978	673	947	827	777	634	707	1242	1229	624	729	889	927	893	1144	936	1153	964	1201	1207	1116	449	221	91	196	675	1470	1529	1935	1304	2003	3100	1767	2095	2273	2382	850	771	385	543	506	534	1318	2402	1069	894	1105	1491	670	1031	1259	1519	1581	1369	1412	1708	1270	1006	1232	1072	1043	940	1106	747	984	1391	724	936	906	1212	1123	1029	1762	1461	1867	1170	1139	1726	1700	1245	2189	1633	1952	1668	1293	992	1844	1223	1422	892	1356	2239	2218	2881	786	2087	2741	2191	1328	2167	1300	913	1094	2172	1500	1309	885	1564	1089	551	763	1072	917	1190	865
6360_Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Pseudoalteromonadaceae;Pseudoalteromonas	12	5	4	136	149	3	2	36	41	303	63	4007	3	48	86	69	242	88	598	71	72	52	178	314	9	170	138	3141	281	107	1372	13	34	163	145	4	2	55	275	293	434	31	934	1135	4	6	118	10	68	40	775	498	177	202	2121	2	5837	44	1440	59	697	539	1519	268	252	7513	3782	57	4024	576	409	412	1825	24923	243	3383	252	992	35	162	3645	424	143	63	534	1384	1070	1520	1801	4394	1775	594	153	7437	3088	72	29	150	98	102	297	93	171	257	2274	2287	726	1085	528	13	1338	3	69	11	1275	318	1158	5183	2735	225	1753	11251	1003	330	6006	539	887	149	273	334	27	172	790	89	1727	121	612	4194	1821	247	504	1532
6630_Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;SAR86 clade	958	1163	1368	43	1	16	7	3	2	25	147	488	106	23	22	246	154	782	378	1625	798	241	1250	1901	2589	2862	2610	1894	1419	1463	1258	1383	1226	1244	1847	2131	1592	1820	2500	2759	1861	2350	2064	1771	1043	1510	1341	880	522	152	51	20	31	248	142	198	108	117	73	49	100	160	188	28	67	42	43	98	51	130	699	263	295	621	1202	499	1191	1676	1936	2173	1888	2046	2435	2093	1677	2271	2474	1871	1405	1246	1063	1695	2301	1049	1710	1178	1413	1336	1145	1727	1385	1813	1275	1065	1460	1943	1921	3761	2877	3080	832	498	516	935	682	458	43	17	41	14	72	19	28	26	518	79	537	108	235	377	1007	1882	2223	3493	4491	6115	3270	1753	1313	925	1463	1004
5823_Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;NS5 marine group	646	758	766	1	0	0	1	0	0	1	1	4	5	1	6	22	20	95	168	515	445	638	1220	1360	3049	3270	2757	1955	1519	1770	1015	1213	716	365	237	581	412	573	755	709	346	354	301	274	70	46	36	19	9	4	1	1	3	18	9	41	44	31	6	11	14	38	80	14	54	29	25	45	29	36	577	208	384	739	2083	850	3186	2536	3387	3018	3052	3378	2870	1931	2050	2257	3296	3036	2218	2117	1745	2611	3730	2070	3327	1892	2210	1431	1045	2036	1314	1559	1083	1194	1102	1399	1170	1621	1155	914	287	168	79	93	89	45	6	0	2	1	5	4	2	6	108	42	367	168	343	1378	3381	3965	4112	6665	4737	8935	4123	2311	1894	1180	1480	967
