sample_name	julian_day	year	month	fraction	season	Time	Secchi meter 	Temperature	Salinity	SiO2	PO4	NO2	NO3	NOX	NH4	HPLC Chla	BBE Chla	DIN
FL_100105	5	2010	January	FL	Winter	0.413194444	2.9	5.5	33.601	6.54	0.52	1.75	11.11	12.86	2.89	0.266	0.141	15.74
FL_100108	8	2010	January	FL	Winter	0.361111111	3.2	4.7	33.852	5.86	0.57	2.01	10.7	12.71	0.97	NA	0.136	13.68
FL_100115	15	2010	January	FL	Winter	0.354166667	2.8	4.2	34.003	6.28	0.56	1.93	10.55	12.48	2.06	NA	0.149	14.54
FL_100330	89	2010	March	FL	Spring	0.263888889	4.2	3.3	33.189	1.8	0.3	0.66	15.08	15.74	0.34	5.428	3.898	16.08
FL_100408	98	2010	April	FL	Spring	0.197916667	NA	4.7	33.179	0.1	0.07	0.5	8.14	8.64	0.8	3.27	6.391	9.44
FL_100413	103	2010	April	FL	Spring	0.260416667	3.8	5.4	31.456	1.86	0.01	0.61	25.62	26.23	1.15	5.19	4.947	27.38
FL_100420	110	2010	April	FL	Spring	0.270833333	4.5	6.4	30.812	0.01	0.09	0.63	23.3	23.93	1.31	15.65	11.8	25.24
FL_100423	113	2010	April	FL	Spring	0.246527778	3	6	31.618	0.01	0.06	0.45	19.2	19.64	0.29	NA	4.92	19.93
FL_100430	120	2010	April	FL	Spring	0.256944444	3.8	7.6	31.219	0.01	0.04	0.38	15.59	15.97	1.73	NA	5.721	17.7
FL_100504	124	2010	May	FL	Spring	0.26875	2.2	7.3	31.467	0.08	0.51	0.32	12.29	12.62	0.4	7.787	7.355	13.02
FL_100511	131	2010	May	FL	Spring	0.295138889	3.1	8.2	29.527	0.01	0.01	0.33	13.07	13.4	0.87	3.01	1.669	14.27
FL_100701	182	2010	July	FL	Summer	0.263888889	3.5	15.8	29.831	7.19	0.12	0.29	14.65	14.94	0.75	2.816	NA	15.69
FL_100705	186	2010	July	FL	Summer	0.309027778	3.2	17.1	29.791	6.56	0.08	0.3	11.33	11.63	0.21	NA	7.769	11.85
FL_100712	193	2010	July	FL	Summer	0.291666667	5.3	16.4	31.222	2.48	0.05	0.16	3.77	3.93	1.41	NA	NA	5.34
FL_100719	200	2010	July	FL	Summer	0.305555556	7	16.8	32.299	2.05	0.18	0.24	2.51	2.75	1.09	NA	2.285	3.83
FL_100726	207	2010	July	FL	Summer	0.298611111	5	16.4	31.836	1.33	0.12	0.05	0.7	0.75	1.27	NA	3.1	2.01
FL_100802	214	2010	August	FL	Summer	0.291666667	6.5	17.1	32.04	3.87	0.3	0.14	1.59	1.73	0.94	NA	2.077	2.68
FL_100809	221	2010	August	FL	Summer	0.3125	5.2	17.9	31.834	3.55	0.12	0.12	1.65	1.77	0.58	NA	3.642	2.36
FL_100819	231	2010	August	FL	Summer	0.301388889	2.5	17.5	32.418	4.61	0.28	0.15	1.18	1.33	3.21	NA	3.657	4.55
FL_100826	238	2010	August	FL	Summer	0.315972222	3.2	17.9	31.96	7.15	0.91	0.15	1.36	1.52	2.05	NA	6.33	3.57
FL_100902	245	2010	September	FL	Summer	0.318055556	3.8	17.1	31.571	5.95	0.4	0.13	1.09	1.22	2.22	NA	2.281	3.44
FL_100909	252	2010	September	FL	Summer	0.260416667	3.8	16.2	32	6.35	0.53	0.09	0.47	0.56	1.82	NA	7.947	2.38
FL_100916	259	2010	September	FL	Summer	0.28125	0.8	16	32.452	7.06	0.59	0.22	1.35	1.57	4.01	NA	0.714	5.58
FL_100923	266	2010	September	FL	Autumn	0.3125	3	15.7	31.085	10.52	0.61	0.48	6.8	7.28	1.94	NA	1.18	9.22
FL_101014	287	2010	October	FL	Autumn	0.340277778	2.8	14.2	32.79	3.22	0.6	0.13	1.61	1.74	1.64	NA	1.17	3.39
FL_101021	294	2010	October	FL	Autumn	0.309027778	1.2	12.9	29.609	3.19	0.71	0.08	2.83	2.91	1.64	NA	0.828	4.55
FL_101108	312	2010	November	FL	Autumn	0.347222222	3	11.3	32.045	6.09	0.57	0.3	4.63	4.93	2.79	NA	NA	7.72
FL_101115	319	2010	November	FL	Autumn	0.364583333	0.8	10.8	31.414	8.14	0.57	0.44	8.52	8.96	3.07	NA	0.335	12.02
FL_101122	326	2010	November	FL	Autumn	0.565972222	3	9.9	32.371	3.92	0.68	0.14	1.86	1.99	2.33	NA	0.445	4.32
FL_101206	340	2010	January	FL	Autumn	0.399305556	1.8	5.8	31.751	9.53	0.43	0.41	8.98	9.39	2.17	NA	0.398	11.56
FL_110103	3	2011	January	FL	Winter	0.381944444	2.1	3.2	31.191	7.45	0.88	0.38	8.82	9.19	5.34	NA	0.372	14.53
FL_110113	13	2011	January	FL	Winter	0.356944444	3.1	3.9	32.222	6.15	0.53	0.52	6.44	6.96	3.24	NA	0.413	10.2
FL_110124	24	2011	January	FL	Winter	0.380555556	3.2	3.2	30.992	14.06	0.68	0.67	15.64	16.31	6.61	NA	1.374	22.92
FL_110131	31	2011	January	FL	Winter	0.380555556	2.6	2.6	28.437	24.72	0.79	0.99	47.5	48.49	3.95	NA	0.247	52.44
FL_110217	48	2011	February	FL	Winter	0.366666667	4.1	3	31.607	9.83	0.96	0.89	17.64	18.53	2.08	NA	0.361	20.61
FL_110224	55	2011	February	FL	Winter	0.372916667	2.6	2.7	32.328	7.36	0.36	1.1	17.17	18.27	1.43	NA	0.209	19.7
FL_110303	62	2011	March	FL	Winter	0.371527778	4	3.2	32.261	8.4	0.39	1.2	19.31	20.51	2.63	NA	0.104	23.15
FL_110307	66	2011	March	FL	Winter	0.385416667	1.1	3	31.234	15.67	0.51	1.05	28.16	29.21	2.29	NA	0.227	31.5
FL_110314	73	2011	March	FL	Winter	0.371527778	3.6	3.9	32.459	10.89	0.74	1.02	20.11	21.13	0.98	NA	0.231	22.12
FL_110321	80	2011	March	FL	Spring	0.36875	4.1	4.1	32.646	9.92	1.73	0.87	23.03	23.9	1.3	NA	0.249	25.19
FL_110328	87	2011	March	FL	Spring	0.319444444	4.8	4.5	32.333	11.69	1.64	0.8	22.36	23.16	5.57	NA	0.377	28.73
FL_110331	90	2011	March	FL	Spring	0.322916667	5.5	5.2	31.831	11.92	1.15	0.83	18.57	19.4	1.61	NA	0.385	21.01
FL_110404	94	2011	April	FL	Spring	0.333333333	5.8	5.2	32.441	10.55	0.52	0.75	22.49	23.25	0.71	NA	0.357	23.96
FL_110407	97	2011	April	FL	Spring	0.319444444	5.2	5.6	32.721	9.56	0.87	0.66	19.44	20.09	0.55	NA	0.982	20.64
FL_110414	104	2011	April	FL	Spring	0.315277778	3.2	6.8	30.721	7.59	0.57	0.63	16.86	17.49	2	NA	4.519	19.49
FL_110421	111	2011	April	FL	Spring	0.3125	3.1	8.6	29.314	4.91	0.34	1.13	25.16	26.29	0.35	NA	4.74	26.64
FL_110426	116	2011	April	FL	Spring	0.309027778	3.1	9.4	30.323	0.63	0.12	0.59	15.55	16.14	0.49	NA	15.425	16.63
FL_110428	118	2011	April	FL	Spring	0.319444444	3.2	9.6	29.746	0.07	0.01	0.94	21.12	22.06	1.81	NA	6.049	23.87
FL_110506	126	2011	May	FL	Spring	0.318055556	6.6	9.5	31.142	0.27	0.17	0.62	17.01	17.63	0.33	NA	1.631	17.96
FL_110509	129	2011	May	FL	Spring	0.325	7	9.3	32.064	0.29	0.01	0.66	13.25	13.92	0.81	NA	1.946	14.72
FL_110512	132	2011	May	FL	Spring	0.302083333	7	9.4	32.511	0.36	0.01	0.31	9.4	9.71	0.11	NA	3.542	9.82
FL_110516	136	2011	May	FL	Spring	0.322222222	4.3	9.7	32.621	0.45	0.01	0.36	7.81	8.17	0.09	NA	5.449	8.25
FL_110523	143	2011	May	FL	Spring	0.336805556	6.5	10.7	32.785	1.06	0.01	0.37	7.71	8.08	0.87	NA	1.298	8.95
FL_110526	146	2011	May	FL	Spring	0.322916667	3.7	12.4	31.622	1.73	0.17	0.31	7.84	8.15	0.78	NA	0.74	8.93
FL_110530	150	2011	May	FL	Spring	0.319444444	5.1	12	32.339	1.95	0.1	0.44	9.33	9.77	1.17	NA	1.695	10.94
FL_110603	154	2011	June	FL	Spring	0.324305556	5.9	13.2	31.826	3.07	1.93	0.38	7.83	8.21	2.54	NA	0.747	10.75
FL_110606	157	2011	June	FL	Spring	0.318055556	4.8	14.2	31.718	3.14	0.23	0.32	7.89	8.21	3.29	NA	1.246	11.5
FL_110609	160	2011	June	FL	Spring	0.3125	7.5	13.2	32.16	3.25	0.39	0.27	5.56	5.83	3.02	NA	1.81	8.85
FL_110614	165	2011	June	FL	Spring	0.320833333	7.9	14.3	32.617	3.26	0.17	0.27	7.41	7.68	1.82	NA	0.56	9.5
FL_110616	167	2011	June	FL	Spring	0.326388889	7.2	14.3	32.465	3.82	0.12	0.35	7.67	8.02	2.61	NA	1.052	10.62
FL_110620	171	2011	June	FL	Spring	0.308333333	5	13.5	32.679	4.86	0.16	0.28	4.79	5.07	2.3	NA	3.104	7.37
FL_110623	174	2011	June	FL	Summer	0.3125	3.6	14.2	32.545	5.82	0.66	0.26	6.57	6.82	1.6	NA	2.286	8.43
FL_110627	178	2011	June	FL	Summer	0.327777778	5.1	15.5	32.249	6.25	0.72	0.35	7.98	8.33	2.02	NA	1.527	10.35
FL_110630	181	2011	June	FL	Summer	0.3125	3.8	15	32.723	5.88	0.42	0.27	5.48	5.75	1.36	NA	1.458	7.11
FL_110704	185	2011	July	FL	Summer	0.3125	4.9	15.3	32.078	5.15	NA	0.37	6.56	6.93	1.43	NA	NA	8.36
FL_110707	188	2011	July	FL	Summer	0.3125	6.3	15.6	32.004	3.16	0.44	0.38	3.48	3.86	6.32	NA	1.759	10.18
FL_110711	192	2011	July	FL	Summer	0.291666667	7	16.4	31.832	2.41	0.26	0.38	5.79	6.16	1.6	NA	1.582	7.77
FL_110713	194	2011	July	FL	Summer	0.278472222	4.8	16.2	31.473	2.74	0.27	0.38	5.12	5.5	2.15	NA	1.185	7.65
FL_110718	199	2011	July	FL	Summer	0.263888889	4.3	15.5	32.056	3.16	0.3	0.43	4.27	4.7	2.8	NA	1.09	7.5
FL_110721	202	2011	July	FL	Summer	0.305555556	8	15.7	32.393	2.86	0.26	0.28	3.62	3.9	3.44	NA	0.774	7.34
FL_110728	209	2011	July	FL	Summer	0.3125	5	16.5	31.93	6.3	0.83	0.44	6.25	6.68	8.39	NA	1.117	15.07
FL_110804	216	2011	August	FL	Summer	0.256944444	5.5	17.2	31.836	3.33	0.43	0.32	2.19	2.51	8.56	NA	2.661	11.07
FL_110808	220	2011	August	FL	Summer	0.311111111	4.8	16.9	32.144	4	0.23	0.29	2.11	2.41	6.89	NA	1.485	9.29
FL_110815	227	2011	August	FL	Summer	0.311111111	2.2	17.2	32.01	4.52	0.63	0.22	2.42	2.64	11.19	NA	0.727	13.82
FL_110822	234	2011	August	FL	Summer	0.302083333	2.8	17.4	NA	7.49	0.9	0.41	3.61	4.02	8.61	NA	2.197	12.63
FL_110829	241	2011	August	FL	Summer	0.313194444	1.5	17	32.417	4.27	0.32	0.33	2.18	2.51	5.94	NA	3.417	8.45
FL_110905	248	2011	September	FL	Summer	0.302083333	3.1	17.4	32.562	8.43	0.65	0.46	2.94	3.4	6.88	NA	1.813	10.28
FL_110919	262	2011	September	FL	Summer	0.326388889	3.8	16	32.44	9.77	0.56	0.49	4.67	5.16	2.91	NA	1.127	8.07
FL_110922	265	2011	September	FL	Summer	0.323611111	3	15.6	32.753	8.56	0.48	0.36	3.22	3.59	2.98	NA	0.472	6.56
FL_110926	269	2011	September	FL	Autumn	0.273611111	4.7	16.3	32.741	9.37	0.74	0.41	3.24	3.66	1.99	NA	0.938	5.65
FL_110929	272	2011	September	FL	Autumn	0.30625	4.8	16.4	32.788	7.09	0.72	0.3	2.87	3.17	3.7	NA	0.81	6.87
FL_111006	279	2011	October	FL	Autumn	0.306944444	1.8	16.1	32.848	5.68	0.73	0.22	2.19	2.41	3.15	NA	1.033	5.56
FL_111011	284	2011	October	FL	Autumn	0.323611111	1.7	15	32.184	8.31	1.1	0.39	5.26	5.64	3.51	NA	0.887	9.15
FL_111014	287	2011	October	FL	Autumn	0.309027778	2	14.3	31.986	10.2	0.79	0.5	5.77	6.27	3.23	NA	0.576	9.5
FL_111017	290	2011	October	FL	Autumn	0.326388889	2.6	14.4	32.651	6.64	0.59	0.39	4.07	4.46	2.24	NA	0.672	6.7
FL_111024	297	2011	October	FL	Autumn	0.295138889	2.8	12.9	32.5	6.95	0.71	0.39	3.59	3.99	1.38	NA	0.617	5.36
FL_111027	300	2011	October	FL	Autumn	0.326388889	3.9	13.1	33.217	3.38	0.24	0.14	1.4	1.55	1.55	NA	0.638	3.09
FL_111031	304	2011	October	FL	Autumn	0.368055556	3.8	13.3	33.45	3.73	0.33	0.23	1.82	2.05	6.61	NA	0.433	8.66
FL_111103	307	2011	November	FL	Autumn	0.384027778	5.1	13.1	33.53	3.35	0.61	0.22	1.49	1.71	5.09	NA	0.455	6.8
FL_111107	311	2011	November	FL	Autumn	0.3625	4.5	12.4	33.506	4.29	0.74	0.37	2.48	2.85	2.88	NA	0.978	5.73
FL_111110	314	2011	November	FL	Autumn	0.336111111	6	11.9	33.36	4.08	0.48	0.3	2.09	2.39	4.23	NA	0.392	6.62
FL_111114	318	2011	November	FL	Autumn	0.354166667	5.8	11.2	33.682	3.82	0.44	0.34	1.86	2.21	2.58	NA	0.3	4.79
FL_111117	321	2011	November	FL	Autumn	0.361111111	7	10.6	33.939	4.05	0.59	0.33	0.41	0.74	3.11	NA	0.756	3.85
FL_111121	325	2011	November	FL	Autumn	0.367361111	6.2	10.7	34.246	4.6	0.85	0.62	1.88	2.5	3.4	NA	0.89	5.9
FL_111124	328	2011	November	FL	Autumn	0.350694444	3	11	34.353	4.83	NA	0.51	1.9	2.41	2.25	NA	0.821	4.65
FL_111205	339	2011	December	FL	Autumn	0.38125	0.9	8.5	33.124	11.6	0.66	0.72	9.3	10.01	2.23	NA	1.082	12.25
FL_111208	342	2011	December	FL	Autumn	0.406944444	0.9	8.5	33.292	11.14	0.89	0.62	8.52	9.14	1.58	NA	0.447	10.72
FL_111212	346	2011	December	FL	Autumn	0.411111111	1	7.2	32.707	10.8	0.69	0.47	10.08	10.54	2.26	NA	1.002	12.8
FL_120102	2	2012	January	FL	Winter	0.397222222	1	6.7	32.609	12.7	0.66	1.03	8.95	9.97	3.33	NA	0.262	13.31
